text,genre,source,processed_text,token_count,cluster
The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,academic support and resources,student_feedback,research database material causing frustration better succeed academically,8,2
I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,academic support and resources,student_feedback,trouble finding material library bookstore always sold,7,4
It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,academic support and resources,student_feedback,frustrating research database material trying write paper project disadvantage compared school,11,2
I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,academic support and resources,student_feedback,struggling appointment academic advisor week care success,7,1
I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me.,academic support and resources,student_feedback,struggling understanding instruction assignment clear know expected,7,1
The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot.,academic support and resources,student_feedback,grading system unfair inconsistent seems professor picking favorite giving fair shot,11,1
I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism.,academic support and resources,student_feedback,wish professor give feedback assignment know wrong improve without constructive criticism,11,1
The quality of teaching in this course is very poor. The professor doesn't seem to care about the material or the students and it shows in the lectures.,academic support and resources,student_feedback,quality teaching poor professor seem care material show lecture,9,1
The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress.,academic support and resources,student_feedback,fee textbook cost way high barely afford pay everything causing stress,11,1
I am very concerned about academic dishonesty and plagiarism in this course. The professor doesn't seem to take it seriously and it's making me question the integrity of the entire class.,academic support and resources,student_feedback,concerned academic dishonesty plagiarism professor seem seriously question integrity entire,10,1
There have been several honor code violations in this course and it's really disappointing. I thought this was a place of higher learning and respect for academic integrity.,academic support and resources,student_feedback,several honor code violation disappointing thought place higher learning respect academic integrity,12,1
The grading rubric for this course is confusing and doesn't make sense. I don't understand how my grade is being calculated and it's causing me a lot of anxiety.,academic support and resources,student_feedback,grading rubric confusing sense understand grade calculated causing anxiety,9,1
I feel like my professor doesn't care about my success in this course. They don't give us enough support or resources to do well.,academic support and resources,student_feedback,professor care success give enough resource well,7,1
The textbooks for this course are outdated and don't provide enough information. I feel like I'm not getting the education I paid for.,academic support and resources,student_feedback,textbook outdated provide enough information education paid,7,1
I am really frustrated with the lack of transparency in this course. The professor doesn't communicate with us clearly and it's causing a lot of confusion.,academic support and resources,student_feedback,frustrated lack transparency professor communicate clearly causing confusion,8,1
The teaching assistants for this course are not helpful at all. They don't know the material and can't answer any of my questions.,academic support and resources,student_feedback,teaching assistant helpful know material answer question,7,1
The grading scale for this course is too harsh. It's almost impossible to get an A and it's discouraging me from trying my best.,academic support and resources,student_feedback,grading scale harsh almost impossible discouraging trying best,8,1
