semantic_cluster,cluster_name,cluster_confidence,sentiment,sentiment_score,umap_x,umap_y,Reports,processed_text
3,🔬 Research & Technology Resources,0.98,Positive,0.2732,10.387044,-0.56088,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,the limited access to research databases and materials is causing a lot of frustration among students we need better access to be able to succeed academically
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.4019,12.832795,0.155647,I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,im having trouble finding the course materials i need for my classes the library doesnt have them and the bookstore is always sold out
3,🔬 Research & Technology Resources,0.98,Negative,-0.6249,10.319304,-0.627657,It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,its frustrating to have limited access to research databases and materials when im trying to write a paper or do a project i feel like im at a disadvantage compared to students at other schools
-1,🌀 Unclassified Institutional Feedback,0.0438,Positive,0.3035,12.214421,-5.277848,I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,im really struggling in one of my classes but i cant get an appointment with my academic advisor for weeks its making me feel like no one cares about my success
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.6459,12.73945,-1.028425, I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me., i am really struggling with understanding the instructions for this assignment they are not clear and i dont know what is expected of me
9,🎓 Teaching Quality & Engagement,0.98,Positive,0.3536,12.438285,-1.099188, The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot., the grading system in this course is unfair and inconsistent it seems like the professor is picking favorites and not giving everyone a fair shot
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.1027,12.384305,-1.027072, I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism., i wish my professor would give us more feedback on our assignments i dont know what im doing wrong and i cant improve without constructive criticism
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.7202,12.454013,-1.077985, The quality of teaching in this course is very poor. The professor doesn't seem to care about the material or the students and it shows in the lectures., the quality of teaching in this course is very poor the professor doesnt seem to care about the material or the students and it shows in the lectures
4,💰 Financial Aid & Administration,0.6398,Negative,-0.4472,7.88701,7.361971, The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress., the course fees and textbook costs are way too high i can barely afford to pay for everything and its causing me a lot of stress
9,🎓 Teaching Quality & Engagement,0.98,Positive,0.2263,12.43614,-1.13797,I am very concerned about academic dishonesty and plagiarism in this course. The professor doesn't seem to take it seriously and it's making me question the integrity of the entire class.,i am very concerned about academic dishonesty and plagiarism in this course the professor doesnt seem to take it seriously and its making me question the integrity of the entire class
