Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality,processed_text,raw_feedback_text,umap_x,umap_y,sem_cluster,sem_confidence,sentiment,sentiment_score,cluster_label,sem_cluster_name
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,27,2.18,2,1,M,Egypt,the limited access to research databases and materials is causing a lot of frustration among students we need better access to be able to succeed academically,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,10.387044,-0.5608798,3,0.98,Positive,0.2732,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,23,3.11,2,1,F,Egypt,im having trouble finding the course materials i need for my classes the library doesnt have them and the bookstore is always sold out,I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,12.832795,0.15564717,9,0.6453,Negative,-0.4019,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,20,3.68,2,1,F,Egypt,its frustrating to have limited access to research databases and materials when im trying to write a paper or do a project i feel like im at a disadvantage compared to students at other schools,It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,10.319304,-0.62765664,3,0.98,Negative,-0.6249,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,20,1.3,2,1,F,Egypt,im really struggling in one of my classes but i cant get an appointment with my academic advisor for weeks its making me feel like no one cares about my success,I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,12.214421,-5.2778473,-1,0.0438,Positive,0.3035,Unclassified Feedback,🌀 Unclassified Institutional Feedback
Academic Support and Resources, I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me.,26,2.5,2,1,F,Egypt, i am really struggling with understanding the instructions for this assignment they are not clear and i dont know what is expected of me, I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me.,12.73945,-1.0284246,9,0.98,Negative,-0.6459,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot.,22,2.79,2,1,F,Egypt, the grading system in this course is unfair and inconsistent it seems like the professor is picking favorites and not giving everyone a fair shot, The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot.,12.438285,-1.0991881,9,0.98,Positive,0.3536,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism.,24,3.5,2,1,F,Egypt, i wish my professor would give us more feedback on our assignments i dont know what im doing wrong and i cant improve without constructive criticism, I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism.,12.384305,-1.0270721,9,0.98,Negative,-0.1027,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The quality of teaching in this course is very poor. The professor doesn't seem to care about the material or the students and it shows in the lectures.,20,1.11,2,1,M,Egypt, the quality of teaching in this course is very poor the professor doesnt seem to care about the material or the students and it shows in the lectures, The quality of teaching in this course is very poor. The professor doesn't seem to care about the material or the students and it shows in the lectures.,12.454013,-1.0779848,9,0.98,Negative,-0.7202,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress.,24,3.26,2,1,F,Egypt, the course fees and textbook costs are way too high i can barely afford to pay for everything and its causing me a lot of stress, The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress.,7.8870096,7.361971,4,0.6398,Negative,-0.4472,Cluster 4,💰 Financial Aid & Administration
Academic Support and Resources,I am very concerned about academic dishonesty and plagiarism in this course. The professor doesn't seem to take it seriously and it's making me question the integrity of the entire class.,25,0.86,2,1,F,Egypt,i am very concerned about academic dishonesty and plagiarism in this course the professor doesnt seem to take it seriously and its making me question the integrity of the entire class,I am very concerned about academic dishonesty and plagiarism in this course. The professor doesn't seem to take it seriously and it's making me question the integrity of the entire class.,12.43614,-1.13797,9,0.98,Positive,0.2263,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,There have been several honor code violations in this course and it's really disappointing. I thought this was a place of higher learning and respect for academic integrity.,16,3.3,2,1,F,Egypt,there have been several honor code violations in this course and its really disappointing i thought this was a place of higher learning and respect for academic integrity,There have been several honor code violations in this course and it's really disappointing. I thought this was a place of higher learning and respect for academic integrity.,12.364432,-0.9013902,9,0.98,Positive,0.2516,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,The grading rubric for this course is confusing and doesn't make sense. I don't understand how my grade is being calculated and it's causing me a lot of anxiety.,26,3.34,2,1,F,Egypt,the grading rubric for this course is confusing and doesnt make sense i dont understand how my grade is being calculated and its causing me a lot of anxiety,The grading rubric for this course is confusing and doesn't make sense. I don't understand how my grade is being calculated and it's causing me a lot of anxiety.,12.4416275,-0.98636526,9,0.98,Negative,-0.3818,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,I feel like my professor doesn't care about my success in this course. They don't give us enough support or resources to do well.,21,1.0,2,1,M,Egypt,i feel like my professor doesnt care about my success in this course they dont give us enough support or resources to do well,I feel like my professor doesn't care about my success in this course. They don't give us enough support or resources to do well.,12.414896,-1.034256,9,0.98,Positive,0.8112,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The textbooks for this course are outdated and don't provide enough information. I feel like I'm not getting the education I paid for.,27,3.15,2,1,F,Egypt, the textbooks for this course are outdated and dont provide enough information i feel like im not getting the education i paid for, The textbooks for this course are outdated and don't provide enough information. I feel like I'm not getting the education I paid for.,12.675646,-1.0362679,9,0.98,Positive,0.3612,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, I am really frustrated with the lack of transparency in this course. The professor doesn't communicate with us clearly and it's causing a lot of confusion.,19,2.17,2,1,M,Egypt, i am really frustrated with the lack of transparency in this course the professor doesnt communicate with us clearly and its causing a lot of confusion, I am really frustrated with the lack of transparency in this course. The professor doesn't communicate with us clearly and it's causing a lot of confusion.,12.392118,-1.1528664,9,0.98,Negative,-0.6697,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The teaching assistants for this course are not helpful at all. They don't know the material and can't answer any of my questions.,22,1.08,2,1,M,Egypt, the teaching assistants for this course are not helpful at all they dont know the material and cant answer any of my questions, The teaching assistants for this course are not helpful at all. They don't know the material and can't answer any of my questions.,12.78998,-0.84058154,9,0.98,Negative,-0.3252,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The grading scale for this course is too harsh. It's almost impossible to get an A and it's discouraging me from trying my best.,18,3.55,2,1,M,Egypt, the grading scale for this course is too harsh its almost impossible to get an a and its discouraging me from trying my best, The grading scale for this course is too harsh. It's almost impossible to get an A and it's discouraging me from trying my best.,12.458473,-0.98942065,9,0.98,Negative,-0.1531,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, I am disappointed with the quality of education I am receiving in this course. I expected more from a university.,24,0.37,2,1,M,Egypt, i am disappointed with the quality of education i am receiving in this course i expected more from a university, I am disappointed with the quality of education I am receiving in this course. I expected more from a university.,12.372613,-0.77792114,9,0.98,Negative,-0.4767,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The professor for this course is disorganized and doesn't seem to have a plan. I am not learning anything and it's frustrating.,16,3.97,2,1,M,Egypt, the professor for this course is disorganized and doesnt seem to have a plan i am not learning anything and its frustrating, The professor for this course is disorganized and doesn't seem to have a plan. I am not learning anything and it's frustrating.,12.563768,-1.0337301,9,0.98,Negative,-0.6249,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The cost of attending this university is outrageous. I don't know how I'm going to afford it.,20,3.37,2,1,F,Egypt, the cost of attending this university is outrageous i dont know how im going to afford it, The cost of attending this university is outrageous. I don't know how I'm going to afford it.,7.4333205,7.238699,4,0.9162,Negative,-0.4588,Cluster 4,💰 Financial Aid & Administration
